2021-04-14 15:59:32,097 semantic_segmentation INFO: Using 1 GPUs
2021-04-14 15:59:32,097 semantic_segmentation INFO: Namespace(aux=False, aux_weight=0.4, backbone='dualresnet', base_size=1040, batch_size=5, crop_size=1024, data_path='/home/mohi/projects/pytorch-sem-seg/awesome-semantic-segmentation-pytorch/datasets/citys', dataset='citys', device='cuda', distributed=False, epochs=250, jpu=False, local_rank=0, log_dir='runs/logs/', log_iter=10, lr=0.003, model='ddrnet_23', momentum=0.9, nclass=19, no_cuda=False, num_gpus=1, resume=None, save_dir='trained_models/', save_epoch=1, skip_val=False, start_epoch=0, use_ohem=True, val_epoch=1, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=4)
2021-04-14 15:59:33,663 semantic_segmentation INFO: Start training, Total Epochs: 250 = Total Iterations 148750
2021-04-14 15:59:41,274 semantic_segmentation INFO: Iters: 10/148750 || Lr: 0.003000 || Loss: 3.5440 || Cost Time: 0:00:07 || Estimated Time: 1 day, 6:45:36
2021-04-19 10:29:44,815 semantic_segmentation INFO: Model restored successfully!!!!
2021-04-19 10:29:44,816 semantic_segmentation INFO: Start validation, Total sample: 500
2021-04-19 10:29:57,405 semantic_segmentation INFO: Sample: 102, validation pixAcc: 95.182, mIoU: 74.086
2021-04-19 10:29:57,503 semantic_segmentation INFO: Sample: 103, validation pixAcc: 95.211, mIoU: 74.105
2021-04-19 10:29:57,597 semantic_segmentation INFO: Sample: 104, validation pixAcc: 95.224, mIoU: 74.245
2021-04-19 10:29:57,700 semantic_segmentation INFO: Sample: 105, validation pixAcc: 95.213, mIoU: 74.583
2021-04-19 10:29:57,801 semantic_segmentation INFO: Sample: 106, validation pixAcc: 95.212, mIoU: 74.525
2021-04-19 10:29:57,903 semantic_segmentation INFO: Sample: 107, validation pixAcc: 95.239, mIoU: 74.534
2021-04-19 10:29:58,023 semantic_segmentation INFO: Sample: 108, validation pixAcc: 95.233, mIoU: 74.509
2021-04-19 10:29:58,142 semantic_segmentation INFO: Sample: 109, validation pixAcc: 95.246, mIoU: 74.423
2021-04-19 10:29:58,261 semantic_segmentation INFO: Sample: 110, validation pixAcc: 95.261, mIoU: 74.431
2021-04-19 10:29:58,357 semantic_segmentation INFO: Sample: 111, validation pixAcc: 95.275, mIoU: 74.455
2021-04-19 10:29:58,458 semantic_segmentation INFO: Sample: 112, validation pixAcc: 95.297, mIoU: 74.432
2021-04-19 10:29:58,553 semantic_segmentation INFO: Sample: 113, validation pixAcc: 95.314, mIoU: 74.456
2021-04-19 10:29:58,666 semantic_segmentation INFO: Sample: 114, validation pixAcc: 95.338, mIoU: 74.460
2021-04-19 10:29:58,763 semantic_segmentation INFO: Sample: 115, validation pixAcc: 95.332, mIoU: 74.637
2021-04-19 10:29:58,860 semantic_segmentation INFO: Sample: 116, validation pixAcc: 95.346, mIoU: 74.637
2021-04-19 10:29:58,950 semantic_segmentation INFO: Sample: 117, validation pixAcc: 95.339, mIoU: 74.598
2021-04-19 10:29:59,052 semantic_segmentation INFO: Sample: 118, validation pixAcc: 95.356, mIoU: 74.565
2021-04-19 10:29:59,172 semantic_segmentation INFO: Sample: 119, validation pixAcc: 95.380, mIoU: 74.562
2021-04-19 10:29:59,277 semantic_segmentation INFO: Sample: 120, validation pixAcc: 95.406, mIoU: 74.563
2021-04-19 10:29:59,386 semantic_segmentation INFO: Sample: 121, validation pixAcc: 95.420, mIoU: 74.599
2021-04-19 10:29:59,483 semantic_segmentation INFO: Sample: 122, validation pixAcc: 95.432, mIoU: 74.698
2021-04-19 10:29:59,588 semantic_segmentation INFO: Sample: 123, validation pixAcc: 95.420, mIoU: 74.616
2021-04-19 10:29:59,686 semantic_segmentation INFO: Sample: 124, validation pixAcc: 95.413, mIoU: 74.540
2021-04-19 10:29:59,785 semantic_segmentation INFO: Sample: 125, validation pixAcc: 95.427, mIoU: 74.439
2021-04-19 10:29:59,912 semantic_segmentation INFO: Sample: 126, validation pixAcc: 95.439, mIoU: 74.431
2021-04-19 10:30:00,016 semantic_segmentation INFO: Sample: 127, validation pixAcc: 95.454, mIoU: 74.415
2021-04-19 10:30:00,109 semantic_segmentation INFO: Sample: 128, validation pixAcc: 95.476, mIoU: 74.426
2021-04-19 10:30:00,213 semantic_segmentation INFO: Sample: 129, validation pixAcc: 95.486, mIoU: 74.430
2021-04-19 10:30:00,311 semantic_segmentation INFO: Sample: 130, validation pixAcc: 95.502, mIoU: 74.426
2021-04-19 10:30:00,412 semantic_segmentation INFO: Sample: 131, validation pixAcc: 95.512, mIoU: 74.490
2021-04-19 10:30:00,512 semantic_segmentation INFO: Sample: 132, validation pixAcc: 95.518, mIoU: 74.454
2021-04-19 10:30:00,614 semantic_segmentation INFO: Sample: 133, validation pixAcc: 95.537, mIoU: 74.481
2021-04-19 10:30:00,717 semantic_segmentation INFO: Sample: 134, validation pixAcc: 95.558, mIoU: 74.478
2021-04-19 10:30:00,826 semantic_segmentation INFO: Sample: 135, validation pixAcc: 95.576, mIoU: 74.540
2021-04-19 10:30:00,929 semantic_segmentation INFO: Sample: 136, validation pixAcc: 95.595, mIoU: 74.539
